"Date","Open","High","Low","Close","Volume","OpenInt"
08/23/95,68.210,68.250,68.040,68.040,20098,67124
08/24/95,67.770,68.330,67.770,68.330,30875,69702
08/25/95,68.330,68.520,68.250,68.520,14430,68676
08/28/95,68.850,69.000,68.850,68.850,18437,69033
08/29/95,68.720,68.720,68.320,68.320,22051,69511
08/30/95,68.290,68.350,68.210,68.340,16924,106004
08/31/95,68.750,68.800,68.700,68.730,17001,66904
09/01/95,68.780,69.000,68.780,68.910,19901,66344
09/05/95,68.840,69.000,68.840,68.960,19407,67362
09/06/95,68.280,68.280,68.180,68.180,29572,69330
09/07/95,68.440,68.450,68.180,68.180,26795,68979
09/08/95,67.830,68.290,67.830,68.290,27523,69771
09/11/95,68.530,68.550,68.460,68.460,65646,73386
09/12/95,68.590,68.590,68.410,68.520,23303,73695
09/13/95,67.910,67.910,67.310,67.440,53668,78487
09/14/95,67.840,67.900,67.660,67.830,33427,79199
09/15/95,67.270,67.800,67.270,67.700,38235,80806
09/18/95,67.750,68.130,67.750,68.100,22585,77856
09/19/95,67.740,67.860,67.700,67.700,14189,56135
09/20/95,67.860,69.120,67.860,68.960,47081,51915
09/21/95,69.500,71.550,69.500,71.100,62606,48391
09/22/95,70.860,71.600,70.700,70.920,26173,48762
09/25/95,70.820,70.820,70.350,70.400,19878,48341
09/26/95,70.090,70.280,69.900,70.160,21164,49029
09/27/95,70.500,71.050,70.500,70.790,26737,48872
09/28/95,70.970,71.120,70.800,70.940,18414,48769
09/29/95,71.060,71.100,70.540,70.570,21159,49006
10/02/95,70.410,70.650,70.310,70.530,16129,48178
10/03/95,70.590,70.590,69.900,70.220,26581,50771
10/04/95,70.160,70.440,70.080,70.280,13536,49057
10/05/95,70.350,71.000,70.250,70.940,24389,48607
10/06/95,70.920,71.310,70.500,70.890,25776,51395
10/09/95,71.400,71.440,71.190,71.300,21799,52770
10/10/95,70.870,71.260,70.830,71.100,19130,53058
10/11/95,71.190,71.190,70.660,70.690,20746,52673
10/12/95,70.850,71.110,70.820,71.000,18836,52080
10/13/95,70.600,70.700,70.300,70.570,23498,52404
10/16/95,70.920,71.030,70.800,70.880,13445,51493
10/17/95,71.010,71.340,70.800,71.270,22070,50071
10/18/95,70.820,71.400,70.580,70.770,22208,51999
10/19/95,71.030,71.730,71.030,71.570,29604,52579
10/20/95,71.380,72.150,71.380,72.060,26657,54403
10/23/95,72.750,72.950,72.450,72.700,29738,56924
10/24/95,72.710,72.710,72.120,72.350,23302,57137
10/25/95,72.010,72.440,72.010,72.390,19591,57704
10/26/95,72.320,72.540,71.200,72.520,36700,57195
10/27/95,72.230,72.480,71.470,71.550,22756,56777
10/30/95,71.430,71.750,71.350,71.430,16759,57175
10/31/95,71.370,71.650,71.220,71.490,18607,58157
11/01/95,71.240,71.270,70.930,71.060,21733,56116
11/02/95,70.820,71.040,70.740,70.740,16861,55834
11/03/95,70.740,71.250,70.660,71.010,23091,56039
11/06/95,71.320,71.400,71.100,71.150,19622,56298
11/07/95,71.200,71.200,70.920,71.010,13636,56384
11/08/95,71.070,71.170,70.760,70.860,16173,57176
11/09/95,70.710,71.690,70.550,71.430,32523,57017
11/10/95,71.300,71.530,71.030,71.060,15269,56183
11/13/95,71.060,71.500,70.800,70.990,20820,56331
11/14/95,70.940,71.300,70.920,71.170,16610,56314
11/15/95,71.770,71.860,71.570,71.620,19236,55623
11/16/95,71.590,71.600,71.240,71.500,15184,55646
11/17/95,71.720,71.880,71.450,71.560,18335,56977
11/20/95,70.900,71.620,70.900,71.540,22392,56700
11/21/95,71.320,71.460,71.260,71.430,13306,56616
11/22/95,71.370,71.600,71.110,71.420,14385,56616
11/23/95,71.420,71.420,71.420,71.420,15425,56700
11/24/95,71.080,71.150,70.820,70.870,9274,0
11/27/95,70.580,70.580,69.860,70.040,46940,68610
11/28/95,70.040,70.300,70.020,70.120,17154,0
11/29/95,69.990,70.130,69.740,69.930,29090,70134
11/30/95,69.900,70.180,69.310,69.410,34649,72978
12/01/95,69.460,69.720,69.150,69.510,26732,79507
12/04/95,69.550,70.160,69.550,69.830,19495,77866
12/05/95,69.830,70.200,69.830,70.140,22698,78221
12/06/95,70.200,70.350,69.520,69.670,21100,0
12/07/95,69.400,69.860,69.300,69.410,20762,75963
12/08/95,69.500,69.700,69.050,69.400,41656,81897
